phosphatidate biosynthesis I (the dihydroxyacetone pathway)	glycerol-3-phosphate 1-O-acyltransferase	2.3.1.15	SCT1	PMID:9401016|PMID:10617610|PMID:16916618|PMID:24520995|PMID:17726007|PMID:22090344|PMID:10542045
L-lysine biosynthesis IV	homoaconitate hydratase	4.2.1.36	LYS4	PMID:10714900
very long chain fatty acid biosynthesis I	very-long-chain enoyl-CoA reductase	1.3.1.93	TSC13	PMID:17719544|PMID:18272525|PMID:17719534
folate biosynthesis II	aminodeoxychorismate synthase	2.6.1.85	ABZ1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
formaldehyde oxidation II (glutathione-dependent)	S-formylglutathione hydrolase	3.1.2.12	YJL068C	
stearate biosynthesis III (fungi)	enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9	FAS1	
glutathione-glutaredoxin redox reactions	glutathione-disulfide reductase	1.8.1.7	GLR1	PMID:11169096
carnitine shuttle	carnitine O-acetyltransferase	2.3.1.7	CAT2	PMID:20889721|PMID:18427809|PMID:11329169
superpathway of methionine salvage pathway	2-aminoadipate transaminase	2.6.1.39	ARO8	PMID:18625006|PMID:9409150|PMID:19946895|PMID:16530730|PMID:9073064|PMID:9573363
superpathway of purine nucleotides de novo biosynthesis II	IMP dehydrogenase	1.1.1.205	IMD3	
superpathway of TCA cycle and glyoxylate cycle	succinate--CoA ligase (ADP-forming)	6.2.1.5	LSC2	PMID:12455685|PMID:20889721|PMID:23966945|PMID:1551398|PMID:1454530
superpathway of tetrahydrofolate biosynthesis and salvage	glycine hydroxymethyltransferase	2.1.2.1	SHM1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
valine degradation	indolepyruvate decarboxylase	4.1.1.74	PDC5	PMID:9748245|PMID:10989420|PMID:8798704|PMID:10989445|PMID:8702755
superpathway of threonine biosynthesis	homoserine dehydrogenase	1.1.1.3	HOM6	PMID:9163906|PMID:25408465|PMID:1847111|PMID:6821505
sphingolipid biosynthesis (yeast)	very-long-chain ceramide synthase	2.3.1.297	LAC1	PMID:12034738|PMID:12069845|PMID:11113186|PMID:15692566
L-tyrosine degradation III	indolepyruvate decarboxylase	4.1.1.74	PDC5	PMID:13750129|PMID:13546168|PMID:9491082|PMID:9491083
superpathway of ergosterol biosynthesis I	isopentenyl-diphosphate Delta-isomerase	5.3.3.2	IDI1	PMID:8561481|PMID:8552601|PMID:12119386
TCA cycle, aerobic respiration	succinate dehydrogenase	1.3.5.1	SDH9	PMID:8099357|PMID:12855708|PMID:9395469
superpathway of phosphatidic acid and phospholipid biosynthesis	choline kinase	2.7.1.32	CKI1	PMID:24520995|PMID:9885152|PMID:24866973
superpathway of ergosterol biosynthesis I	3beta-hydroxysteroid 3-dehydrogenase	1.1.1.270	ERG27	PMID:8561481|PMID:8552601|PMID:12119386
superpathway of phosphatidate biosynthesis	glycerol-3-phosphate 1-O-acyltransferase	2.3.1.15	SCT1	PMID:24520995|PMID:17726007|PMID:22090344|PMID:10542045
phospholipid biosynthesis	phosphatidylethanolamine N-methyltransferase	2.1.1.17	CHO2	PMID:16807089
superpathway of aromatic amino acid biosynthesis	anthranilate synthase	4.1.3.27	TRP2	
L-tryptophan degradation III (eukaryotic)	kynurenine 3-monooxygenase	1.14.13.9	BNA4	PMID:12062417
superpathway of tetrahydrofolate biosynthesis and salvage	thymidylate synthase	2.1.1.45	CDC21	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
acetoin biosynthesis	(R,R)-butanediol dehydrogenase	1.1.1.4	BDH1	PMID:16535224|PMID:10938079
superpathway of L-threonine biosynthesis	aspartate kinase	2.7.2.4	HOM3	PMID:8082795|PMID:2176637
superpathway of glucose fermentation	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH1	PMID:6985717
fatty acids biosynthesis (yeast)	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39	FAS1	
superpathway of histidine, purine, and pyrimidine biosynthesis	IMP cyclohydrolase	3.5.4.10	ADE16	
phosphatidylinositol phosphate biosynthesis	phosphoinositide 5-phosphatase	3.1.3.36	INP53	PMID:17382260
superpathway of aromatic amino acid biosynthesis	aromatic-amino-acid transaminase	2.6.1.57	ARO9	
superpathway of phospholipid biosynthesis	cardiolipin synthase (CMP-forming)	2.7.8.41	CRD1	PMID:16807089|PMID:9885152|PMID:24520995|PMID:24866973
inositol phosphate biosynthesis	diadenosine hexaphosphate hydrolase (AMP-forming)	3.6.1.60	DDP1	PMID:11956213
NAD salvage pathway IV (from nicotinamide riboside)	nicotinate-nucleotide adenylyltransferase	2.7.7.18	NMA2	PMID:15137942
5-aminoimidazole ribonucleotide biosynthesis II	phosphoribosylformylglycinamidine synthase	6.3.5.3	ADE6	
superpathway of chorismate metabolism	prephenate dehydratase	4.2.1.51	PHA2	
NAD de novo biosynthesis II (from tryptophan)	nicotinamide-nucleotide adenylyltransferase	2.7.7.1	NMA2	PMID:12062417
phosphatidylinositol phosphate biosynthesis	1-phosphatidylinositol 4-kinase	2.7.1.67	PIK1	PMID:17382260
superpathway of ubiquinone biosynthesis	dimethylallyltranstransferase	2.5.1.1	ERG20	PMID:17482885|PMID:27060254|PMID:19531029|PMID:20592037|PMID:27693056
folate transformations I	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	FAU1	
phenylalanine degradation	phenylpyruvate decarboxylase	4.1.1.43	PDC1	PMID:12499363|PMID:9491082|PMID:9491083|PMID:12902239|PMID:15933030
superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	cystathionine gamma-lyase	4.4.1.1	CYS3	PMID:9409150
methylglyoxal catabolism	hydroxyacylglutathione hydrolase	3.1.2.6	GLO4	PMID:8824231|PMID:9261170
pyruvate fermentation to acetoin III	phenylpyruvate decarboxylase	4.1.1.43	PDC5	PMID:16535224|PMID:2404950|PMID:6383467
superpathway of histidine, purine, and pyrimidine biosynthesis	orotidine-5'-phosphate decarboxylase	4.1.1.23	URA3	
isoleucine degradation	branched-chain-amino-acid transaminase	2.6.1.42	BAT1	PMID:10753893|PMID:8798704|PMID:10989445|PMID:8702755
glutathione-glutaredoxin system	glutathione peroxidase	1.11.1.9	GRX2	PMID:2668278|PMID:11169096
tryptophan degradation	branched-chain-2-oxoacid decarboxylase	4.1.1.72	PDC1	PMID:12499363|PMID:9491082|PMID:9491083|PMID:6763508
de novo biosynthesis of purine nucleotides	IMP dehydrogenase	1.1.1.205	IMD3	PMID:11689683|PMID:15744050|PMID:11035032
adenosine ribonucleotides de novo biosynthesis	adenylosuccinate synthase	6.3.4.4	ADE12	
carnitine shuttle	carnitine O-acetyltransferase	2.3.1.7	YAT1	PMID:20889721|PMID:18427809|PMID:11329169
glycine cleavage	dihydrolipoyl dehydrogenase	1.8.1.4	LPD1	
ergosterol biosynthesis	lanosterol synthase	5.4.99.7	ERG7	PMID:8561481|PMID:8552601|PMID:12119386
superpathway of ubiquinone biosynthesis	(2E,6E)-farnesyl diphosphate synthase	2.5.1.10	ERG20	PMID:17482885|PMID:27060254|PMID:19531029|PMID:20592037|PMID:27693056
fructose degradation	hexokinase	2.7.1.1	HXK2	PMID:16408321|PMID:9299703|PMID:7732723
superpathway of guanosine nucleotides de novo biosynthesis II	IMP dehydrogenase	1.1.1.205	IMD4	
glycolysis I (from glucose 6-phosphate)	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH1	
TCA cycle, aerobic respiration	citrate (Si)-synthase	2.3.3.1	CIT3	PMID:8099357|PMID:12855708|PMID:9395469
salvage pathways of pyrimidine ribonucleotides	cytidine deaminase	3.5.4.5	CDD1	PMID:10501935|PMID:12111094
L-tryptophan degradation III (eukaryotic)	nicotinamide-nucleotide adenylyltransferase	2.7.7.1	NMA2	PMID:12062417
leucine degradation	4-hydroxyphenylpyruvate decarboxylase	4.1.1.80	ARO10	PMID:12499363|PMID:9341119|PMID:9748245|PMID:15933030|PMID:10989420|PMID:8798704|PMID:10989445|PMID:8702755|PMID:9546164
L-serine biosynthesis I	2-oxoglutarate reductase	1.1.1.399	SER3	PMID:12525494
ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	3-demethoxyubiquinol 3-hydroxylase	1.14.99.60	CAT5	PMID:11583838|PMID:17248750|PMID:6369767|PMID:15792955|PMID:2198286|PMID:14701817|PMID:11469793|PMID:17482885|PMID:13835567|PMID:9452453|PMID:8703953|PMID:17391640|PMID:15548532|PMID:9083048|PMID:620805|PMID:16624818
superpathway of phospholipid biosynthesis	ethanolamine-phosphate cytidylyltransferase	2.7.7.14	ECT1	PMID:16807089|PMID:9885152|PMID:24520995|PMID:24866973
superpathway of tetrahydrofolate biosynthesis and salvage	dihydropteroate synthase	2.5.1.15	FOL1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
superoxide radicals degradation	superoxide dismutase	1.15.1.1	SOD1	PMID:12054464|PMID:3290902|PMID:15851472
assimilatory sulfate reduction I	assimilatory sulfite reductase (NADPH)	1.8.1.2	MET5	
superpathway of chorismate metabolism	kynurenine--oxoglutarate transaminase	2.6.1.7	ARO9	
phenylalanine degradation	aromatic-amino-acid transaminase	2.6.1.57	ARO9	PMID:12499363|PMID:9491082|PMID:9491083|PMID:12902239|PMID:15933030
folate transformations I	glycine hydroxymethyltransferase	2.1.2.1	SHM2	
L-leucine biosynthesis	branched-chain-amino-acid transaminase	2.6.1.42	BAT2	PMID:12626680
tetrahydrofolate biosynthesis	dihydroneopterin aldolase	4.1.2.25	FOL1	
superpathway of purine biosynthesis and salvage pathways	ribonucleoside-diphosphate reductase	1.17.4.1	RNR1	PMID:22419079|PMID:17052198|PMID:1495962|PMID:9822821
superpathway of pyrimidine ribonucleotides de novo biosynthesis	aspartate carbamoyltransferase	2.1.3.2	URA2	
superpathway of serine and glycine biosynthesis	low-specificity L-threonine aldolase	4.1.2.48	GLY1	PMID:12525494|PMID:14745783|PMID:9163906|PMID:9398220
aerobic respiration, electron transport chain	quinol--cytochrome-c reductase	7.1.1.8	RIP1	
superpathway of pyrimidine ribonucleotides de novo biosynthesis	carbamoyl-phosphate synthase (ammonia)	6.3.4.16	URA2	
phenylalanine degradation	branched-chain-2-oxoacid decarboxylase	4.1.1.72	PDC5	PMID:12499363|PMID:9491082|PMID:9491083|PMID:12902239|PMID:15933030
superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	homoserine O-acetyltransferase	2.3.1.31	MET2	PMID:9409150
tryptophan degradation	phenylpyruvate decarboxylase	4.1.1.43	PDC6	PMID:12499363|PMID:9491082|PMID:9491083|PMID:6763508
folate polyglutamylation	methenyltetrahydrofolate cyclohydrolase	3.5.4.9	ADE3	PMID:1916088|PMID:10799479|PMID:3665922|PMID:18804690|PMID:16700064
folate interconversions	formate--tetrahydrofolate ligase	6.3.4.3	MIS1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
glutamate degradation I	glutamate decarboxylase	4.1.1.15	GAD1	PMID:11031268
5-aminoimidazole ribonucleotide biosynthesis II	phosphoribosylformylglycinamidine cyclo-ligase	6.3.3.1	ADE57	
superpathway of methionine salvage pathway	kynurenine--oxoglutarate transaminase	2.6.1.7	ARO9	PMID:18625006|PMID:9409150|PMID:19946895|PMID:16530730|PMID:9073064|PMID:9573363
diacylglycerol and triacylglycerol biosynthesis	glycerone-phosphate O-acyltransferase	2.3.1.42	GPT2	PMID:16916618
superpathway of fatty acid biosynthesis, saturated and unsaturated	fatty-acyl-CoA synthase system	2.3.1.86	FAS2	
L-serine biosynthesis I	phosphoserine transaminase	2.6.1.52	SER1	PMID:12525494
glycolysis I (from glucose 6-phosphate)	phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	5.4.2.11	GPM1	
chitosan biosynthesis	chitin deacetylase	3.5.1.41	CDA2	PMID:16760306
superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	assimilatory sulfite reductase (NADPH)	1.8.1.2	MET5	PMID:9409150
tetrapyrrole biosynthesis	porphobilinogen synthase	4.2.1.24	HEM2	PMID:14559249
superpathway of threonine and methionine biosynthesis	threonine synthase	4.2.3.1	THR4	
